,제목,제공기관,설명,파일형태,수정일,제공형태
1193,부산광역시 기장군 안경업소현황,자치행정기관,"부산광역시 기장군 안경업소 현황(업소명, 소재지, 전화번호)",CSV,2020-07-27,파일
1194,부산광역시 기장군 치과기공소 현황,자치행정기관,"부산광역시 기장군 소재 치과기공소 정보(상호, 주소, 전화번호)",CSV,2020-07-27,파일
1195,부산광역시 기장군 치과의원 현황,자치행정기관,"부산광역시 기장군 관내 치과의원 현황(명칭, 소재지, 전화번호)",CSV,2020-07-27,파일
1196,부산광역시 기장군 의원 현황,자치행정기관,"부산광역시 기장군 관내 의원 현황(의료기관명, 주소, 전화번호)",CSV,2020-07-27,파일
1197,대전광역시 장애인복지관 현황,자치행정기관,대전광역시 장애인복지환 현황 입니다.,CSV,2020-07-24,파일
1198,제주특별자치도 제주시 산후조리원현황,자치행정기관,"지역보건 업무에 따른 산후조리원의 기관명, 주소, 전화번호, 팩스번호 정보 입니다.",CSV,2020-07-22,파일
1199,제주특별자치도 제주시 동물병원현황,자치행정기관,"제주시 관내 동물병원의 업소명, 소재지. 전화번호 정보 제공",CSV,2020-07-22,파일
1200,서울특별시 은평구 한의원현황 연간,자치행정기관,"은평구 관내 한의원현황(의료기관명,의료기관종별 등)",CSV,2020-07-21,파일
1201,서울특별시 은평구 치과의원현황 연간,자치행정기관,"은평구 관내 치과의원현황(의료기관명,의료기관종별 등)",CSV,2020-07-21,파일
1202,경기도 양주시 공중보건의사 배치현황,자치행정기관,"경기도 양주시 공중보건의사 배치현황(성명, 근무부서, 진료과목 등)",CSV,2020-07-21,파일
1203,한국보건의료인국가시험원 보건의료인국가시험 성적 현황 응급구조사 1급,공공기관,"보건의료인 국가시험 응시자의 성적 현황을 분석할 수 있는 정보(연도, 직종, 회차, 과목명, 과목별 점수, 총점, 합격여부)를 개인을 식별할 수 없는 형태로 제공",CSV,2020-07-17,파일
1204,한국보건의료인국가시험원 전환성적 발급병원 현황,공공기관,"의사, 치과의사, 한의사 전환성적을 발급한 병원에 대한 정보(병원명, 주소지역)를 제공",CSV,2020-07-17,파일
1205,서울특별시 강북구 코로나19 행정동별 확진자 및 완치자 수,자치행정기관,강북구 코로나 19 행정동별 확진자 및 완치자 수,CSV,2020-07-16,파일
1206,서울특별시 동작구 사회복지관,자치행정기관,"동작구 관내 사회복지관 명칭, 직원수, 개관일, 도로명주소 등",CSV,2020-07-16,파일
1207,대구광역시 달서구 공중위생관리 최우수업소 현황,자치행정기관,관내 공중위생업소의 위생관리수준 평가결과 최우수업소 지정 현황,CSV,2020-07-15,파일
1208,국립암센터 췌장암 레지스트리 메타정보,공공기관,"췌장암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-15,파일
1209,국립암센터 신장암 레지스트리 메타정보,공공기관,"신장암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-15,파일
1210,국립암센터 난소암 레지스트리 메타정보,공공기관,"난소암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-15,파일
1211,서울특별시 중구 치매센터,자치행정기관,중구 치매안심센터 현황 안내,CSV,2020-07-14,파일
1212,경기도 연천군 의료기관현황,자치행정기관,연천군 내 의료기관을 개방하여 치료가 필요한 주민들에게 편의제공,CSV,2020-07-13,파일
1213,경기도 동물장묘 허가업체 현황,자치행정기관,"경기도 내의 동물장묘와 허가 업체 및 시설 현황입니다. 사업장 이름, 소재지 주소 등의 정보가 제공됩니다.",CSV,2020-07-13,파일
1214,서울특별시 동대문구 동대문구 코로나 행정동별 확진자 수,자치행정기관,동대문구 코로나바이러스감염증-19 행정동별 확진자 수,CSV,2020-07-13,파일
1215,서울특별시 동대문구 코로나 동별 확진자 수,자치행정기관,"동별로 코로나바이러스감염증-19 확진자, 퇴원자, 입원자 수 현황",CSV,2020-07-13,파일
1216,서울특별시 강서구 흡연정보,자치행정기관,"서울특별시 강서구 흡연민원건수, 흡연단속건수, 흡연구역(흡연부스) 데이터",CSV,2020-07-13,파일
1217,경상북도 문경시 의료기관현황,자치행정기관,"문경시 소재 병원현황(병원명칭, 소재지, 전화번호 등)",CSV,2020-07-13,파일
1218,전라남도 정신요양시설현황,자치행정기관,"전라남도에 위치한 정신요양시설(사회복귀시설 등) 연락처, 주소 등 현황",CSV,2020-07-10,파일
1219,보건소현황,자치행정기관,전라남도내 보건소현황,CSV,2020-07-10,파일
1220,전라남도 장애인거주시설 현황,자치행정기관,"전라남도에 위치한 장애인 거주시설 연락처, 주소 등 현황",CSV,2020-07-10,파일
1221,국립암센터 간암 레지스트리 메타정보,공공기관,"간암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1222,국립암센터 갑상선암 레지스트리 메타정보,공공기관,"갑상선암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1223,국립암센터 대장암 레지스트리 메타정보,공공기관,"대장암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1224,국립암센터 전립선암 레지스트리 메타정보,공공기관,"전립선암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1225,국립암센터 위암 레지스트리 메타정보,공공기관,"위암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1226,국립암센터 유방암 레지스트리 메타정보,공공기관,"유방암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1227,국립암센터 구강암 레지스트리 메타정보,공공기관,"구강암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1228,국립암센터 방광암 레지스트리 메타정보,공공기관,"방광암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1229,국립암센터 소아청소년암 레지스트리 메타정보,공공기관,"소아청소년암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1230,국립암센터 육종암 레지스트리 메타정보,공공기관,"육종암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1231,국립암센터 자궁암 레지스트리 메타정보,공공기관,"자궁암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1232,국립암센터 담도암 레지스트리 메타정보,공공기관,"담도암 레지스트리 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공",CSV,2020-07-10,파일
1233,전라남도 함평군 진단용방사선발생장치 현황,자치행정기관,"전라남도 함평군 진단용방사선발생장치 현황입니다.(의료기관명, 장비용도, 장치명칭 등)",CSV,2020-07-10,파일
1234,전라남도 함평군 보건기관 현황,자치행정기관,"전라남도 함평군 보건기관 현황입니다.(기관명, 주소, 연락처 등)",CSV,2020-07-10,파일
1235,부산광역시 보건소 현황,자치행정기관,부산시 소재 각 구군의 보건소 주소 및 연락처 위치 홈페이지 현황,CSV,2020-07-10,파일
1236,충청남도 청양군 의료기관 현황,자치행정기관,청양군 의료기관 현황,CSV,2020-07-09,파일
1237,경상북도 문경시 약국현황,자치행정기관,"문경시 소재 약국현황(약국명칭, 소재지, 전화번호 등)",CSV,2020-07-09,파일
1238,제주특별자치도 제주시 공중보건의사배치현황,자치행정기관,"제주시 소재 보건소, 보건지소의 공중보건의사 배치 현황 및 면허, 근무지 정보 제공",CSV,2020-07-09,파일
1239,전라북도 군산시 공중위생업 현황,자치행정기관,"전라북도 군산시 소재한 공중위생업 현황(업종명, 업소명, 영업소 주소 등)",CSV,2020-07-08,파일
1240,한국지역난방공사 에너지복지요금 감면대상시설 정보,공공기관,"지역난방 공급지역중 기본요금 감면 등 요금감면 대상시설 정보 제공(지역별, 단지별)",CSV,2020-07-07,파일
1241,제주특별자치도 제주시 응급의료기관현황,자치행정기관,"제주시 소재 응급 의료기관명, 소재지, 전화번호 정보 제공",CSV,2020-07-07,파일
1242,제주특별자치도 제주시 보건지소등현황,자치행정기관,"제주시 소재 보건지소 명칭, 위치, 전화번호 등의 정보 제공",CSV,2020-07-07,파일
1243,서울특별시 은평구 의원현황 연간,자치행정기관,"은평구 관내 의원현황(의료기관명,의료기관종별 등)",CSV,2020-07-07,파일
1244,서울특별시 은평구 병원현황,자치행정기관,"은평구 관내 병원현황(의료기관명,의료기관종별 등)",CSV,2020-07-07,파일
1245,서울특별시 은평구 동물병원 현황,자치행정기관,은평구 관내 동물병원 현황,CSV,2020-07-07,파일
1246,전라북도 군산시 의료기기판매업현황,자치행정기관,"전라북도 군산시 소재한 의료기기판매업현황(영업소명, 영업소소재지, 영업소전화번호 등)",CSV,2020-07-07,파일
1247,서울특별시 송파구 노인요양시설 현황,자치행정기관,"송파구의 노인요양시설 설립 신고 월별 현황으로 월별 요양원 신고 수, 새로 지어진 시설 수 정보",CSV,2020-07-06,파일
1248,인천광역시 미추홀구 약국,자치행정기관,"관내 약국 상호명, 소재지, 전화번호",CSV,2020-07-06,파일
1249,대구광역시 안전상비의약품 판매업소현황,자치행정기관,"대구지역 안전상비의약품 판매업소 현황(구군, 상호명, 주소)입니다.",CSV,2020-07-06,파일
1250,충청북도 충주시 병원약국정보,자치행정기관,"공공 보건분야의 병원, 의원 진료과목, 연락처, 지역, 주소 정보 제공",CSV,2020-07-06,파일
1251,전라북도 군산시 소독업소 현황,자치행정기관,"전라북도 군산시 소재한 소독업소 현황(소독업소명, 소재지, 전화번호 등)",CSV,2020-07-06,파일
1252,경기도 양평군 안전상비의약품 판매업소,자치행정기관,양평관내 안전상비의약품 판매업소 안내,CSV,2020-07-03,파일
1253,경기도 양평군 사회복지시설현황,자치행정기관,양평군 사회복지시설,CSV,2020-07-03,파일
1254,전라남도 함평군 소독업체 현황,자치행정기관,"전라남도 함평군 소독업체 현황입니다.(업소명,소재지, 연락처 등)",CSV,2020-07-03,파일
1255,제주특별자치도 시군구별건강통계현황,자치행정기관,"제주특별자치도에서 2014~2017년도 시군구별 흡연률, 음주율, 비만율, 스트레스 인지율, 우울감 경험률, 고혈압·당뇨병·관절염 진단 경험률 정보
* 본 통계는 5년 주기로 조사합니다.",CSV,2020-07-02,파일
1256,한국사회보장정보원 보건의료정보용어표준,공공기관,"보건의료정보시스템 및 보건의료정보서비스 구축 시 이용 가능한, 한국형 보건의료용어표준 데이터",CSV,2020-07-01,파일
1257,충청남도 아산시 약국현황,자치행정기관,아산시 관내 약국 운영현황,CSV,2020-06-30,파일
1258,충청남도 아산시 의원현황,자치행정기관,아산시 관내 운영중인 의원현황자료,CSV,2020-06-30,파일
1259,충청남도 아산시 한의원현황,자치행정기관,"충청남도_아산시 관내 운영중인 한의원현황자료(순번,개설일자,개설자명,개인법인구분,법인명,전문과목,의료기관명,의료기관종별,설립구분,의료기관주소,의료기관주소(도로명),의료기관전화번호,의료기관팩스번호,총면적,업무상태)",CSV,2020-06-30,파일
1260,충청남도 아산시 치과의원현황,자치행정기관,"충청남도 아산시 관내 운영중인 치과의원현황자료(순번,개설일자,개설자명,개인법인구분,전문과목,의료기관명,의료기관종별,설립구분,의료기관주소,의료기관주소(도로명),의료기관전화번호,의료기관팩스번호,총면적,업무상태)",CSV,2020-06-30,파일
1261,충청남도 아산시 진단용 방사선 발생장치 및 특수의료장비 정보,자치행정기관,"아산시 진단용 방사선 발생장치 및 특수의료장비 정보(의료기관명, 전화번호, 주소, 장치명칭, 모델명, 검사일)",CSV,2020-06-30,파일
1262,경기도 양평군 공중위생업현황,자치행정기관,"양평관내 이용업, 미용업, 세탁업, 목욕장업 등 현황",CSV,2020-06-29,파일
1263,"경기도 양평군 약국,안경업소현황",자치행정기관,양평관내 약국 및 안경원 현황,CSV,2020-06-29,파일
1264,경기도 동두천시 사회복지시설현황,자치행정기관,"사회복지시설(시설유형, 시설종류, 시설명, 연락처, 소재지주소, 위치, 운영주체 등) 정보 공개",CSV,2020-06-26,파일
1265,대구광역시 동구 혈압측정기설치장소,자치행정기관,"평상시 건강관리를 위한 혈압측정지 설치 현황, 장소 등 정보",CSV,2020-06-25,파일
1266,부산광역시 강서구 위생관리등급평가 정보,자치행정기관,위생관리등급공표,CSV,2020-06-25,파일
1267,대전광역시 대덕구 동물병원현황,자치행정기관,"대전광역시 대덕구 동물병원현황(업소명, 주소, 전화번호 등)입니다.",CSV,2020-06-24,파일
1268,서울특별시 은평구 의원급의료기관,자치행정기관,은평구 내 의원급 의료기관 현황,CSV,2020-06-24,파일
1269,인천광역시 부평구 장사시설 현황,자치행정기관,부평구 소재 장사시설에 대한 정보를 제공합니다,CSV,2020-06-24,파일
1270,경상남도 산청군 약국정보,자치행정기관,산청군의 약국 정보를 제공,CSV,2020-06-24,파일
1271,경상남도 산청군 보건지소및보건진료소정보,자치행정기관,산청군의 보건지소 및 보건진료소 정보를 제공,CSV,2020-06-24,파일
1272,전라북도 김제시 요양원 명,자치행정기관,전북 김제시 요양원 명,CSV,2020-06-22,파일
1273,대구광역시 심야 365약국 운영현황,자치행정기관,"대구광역시 심야.365약국 운영현황(구군, 약국명, 소재지 등)",CSV,2020-06-21,파일
1274,서을특별시 관악구 흡연민원단속 현황,자치행정기관,서울특별시 관악구 흡연 단속 및 민원에 대한 연도별 연령대별 현황 자료입니다,CSV,2020-06-19,파일
1275,서울특별시 관악구 흡연시설현황,자치행정기관,서울특별시 관안구에서 보유한 흡연 시설 현황 정보 입니다,CSV,2020-06-19,파일
1276,경상북도 고령군 자동심장충격기,자치행정기관,"경상북도 고령군 자동심장충격기 설치일자 및 위치 입니다.
2020-06-16일 기준",CSV,2020-06-19,파일
1277,충청북도 단양군 흡연구역 정보,자치행정기관,"충청북도 단양군 흡연구역 정보 데이터를 제공합니다.(흡연구역위치, 관리기관 등)",CSV,2020-06-19,파일
1278,서울특별시 마포구 소독업소현황,자치행정기관,"소독업소현황(업체명, 주소, 전화번호 등)",CSV,2020-06-19,파일
1279,대구광역시 북구 산후조리원,자치행정기관,"관내 산후조리원 현황(업소명, 주소, 전화번호 등) 정보를 제공합니다.",CSV,2020-06-18,파일
1280,부산광역시 동구 의료기관(의원) 현황,자치행정기관,"부산 동구 관내 의료기관(의원) 현황-의원, 치과의원, 한의원",CSV,2020-06-18,파일
1281,경상남도 함양군 휴일진료의료기관DB,자치행정기관,"명절 및 휴일 진료기관, 상비의약품 판매점 정보",CSV,2020-06-17,파일
1282,경기도 성남시 산후조리원현황,자치행정기관,"성남시 산후조리원(구별, 산후조리원명, 주소, 전화번호, 정원수 등)현황",CSV,2020-06-17,파일
1283,경기도 성남시 국가예방접종지원사업현황,자치행정기관,"성남시내 국가예방접종지원사업 참여업체(구별,의료기관명,어린이접종,노인접종,소재지,전화번호) 현황입니다.",CSV,2020-06-17,파일
1284,부산광역시 부산진구 의료관광 정보,자치행정기관,"SMS의료관광협의회는 의료관광을 위해 세계 각국에서 부산진구를 찾는 고객들에게
부산진구 서면메디컬스트리트의 우수한 의료기관들에 대한 정보와 조금 더 전문적이고 체계화된 서비스를 제공하기 위해 구성한 의료관광협의체입니다.",CSV,2020-06-17,파일
1285,부산광역시 남구 치과기공소현황,자치행정기관,"부산광역시 남구 치과기공소현황(업소명, 주소, 전화번호 등) 자료 제공",CSV,2020-06-17,파일
1286,전라북도 익산시 안경업소,자치행정기관,익산시 안경업소 현황,CSV,2020-06-17,파일
1287,"광주광역시 서구 병원, 요양병원 현황",자치행정기관,광주 서구 관내 병원 및 요양병원의 명칭과 병상수 정보 제공,CSV,2020-06-17,파일
1288,인천시 연수구 약국 현황,자치행정기관,"인천시 연수구 약국 현황(약국명, 소재지, 전화번호)",CSV,2020-06-17,파일
1289,국립암센터 암발생 통계 정보,공공기관,중앙암등록본부(국립암센터 지정)가 국가암등록통계사업을 통해 수집한 암등록통계자료,CSV,2020-06-17,파일
1290,충청남도 청양군 공중위생관리업 현황,자치행정기관,"청양군 세탁업, 미용업, 목욕업 현황",CSV,2020-06-16,파일
1291,양평군 소독업체 현황,자치행정기관,양평군 소독업체 현황,CSV,2020-06-16,파일
1292,양평군 의료기관현황,자치행정기관,양평군 의료기관현황,CSV,2020-06-16,파일
1293,인천광역시 미추홀구 동물약국,자치행정기관,"미추홀구 동물약국현황(업소명,소재지,연락처 등)",CSV,2020-06-16,파일
1294,부산광역시 강서구 장례시설 현황,자치행정기관,"부산광역시 강서구 내 장례 시설 현황 제공(업체명, 소재지, 전화번호 등)",CSV,2020-06-16,파일
1295,전라북도 전주시 병원현황,자치행정기관,"전주시의 병상을 소유한 병원현황(기관명, 기관종별, 우편번호, 주소, 전화번호, 병상수) 입니다.",CSV,2020-06-16,파일
1296,대한적십자사 보건안전정보,공공기관,대한적십자사 보건안전 DB,CSV,2020-06-16,파일
1297,대한적십자사 헌혈의집 정보,공공기관,"대한적십자사 헌혈의 집 정보 제공(관할혈액원,헌혈의집명칭,주소지,전화번호등)",CSV,2020-06-16,파일
1298,서울특별시 마포구 의약품도매상 현황,자치행정기관,"의약품도매상 현황(업체명, 대표자명, 소재지, 전화번호)",CSV,2020-06-15,파일
1299,서울특별시 마포구 동물약국 현황,자치행정기관,"동물약국 현황(사업장명, 사업장 소재지,전화번호)",CSV,2020-06-15,파일
1300,서울특별시 송파구 실외운동기구 현황,자치행정기관,"송파구 실외 운동기구 현황으로 설치연도, 설치주소, 운동기구 종류, 담당부서 등 정보",CSV,2020-06-15,파일
1301,전라북도 진안군 이·미용업 및 세탁업소 현황,자치행정기관,"이 ·미용업 및 세탁업소 명칭, 대표자, 주소, 영업장면적 등 제공",CSV,2020-06-15,파일
1302,경기도 모기채집장치 설치지점 정보,자치행정기관,"경기도에서 보건 및 위생과 관련하여 현황을 파악하고, 예측을 통한 대비 등을 하기위해 수행한 각종 조사 현황을 제공합니다.",CSV,2020-06-15,파일
1303,인천광역시 미추홀구 안마시술소,자치행정기관,"인천광역시 미추홀구 안마시술소 현황, 업소명,소재비,연락처 등",CSV,2020-06-15,파일
1304,인천광역시 미추홀구 치과기공소 현황,자치행정기관,"미추홀구 치과기공소 업소명,소재지,연락처 등",CSV,2020-06-15,파일
1305,인천광역시 미추홀구 소독업소,자치행정기관,"소독업소명,소재지,연락처 등",CSV,2020-06-15,파일
1306,부산광역시 서구 안경업소,자치행정기관,"부산광역시 서구 안경업소의 사업장명, 주소, 전화번호 정보 제공",CSV,2020-06-12,파일
1307,한국보건의료인국가시험원 직종별 응시수수료,공공기관,한국보건의료인국가시험원에서 시행하고 있는 직종별 국가시험의 응시수수료 현황,CSV,2020-06-12,파일
1308,서울특별시 강동구 병의원약국정보,자치행정기관,"강동구 관내 의료기관 병의원약국정보(시설명, 소재지, 진료과목 등) 제공",CSV,2020-06-12,파일
1309,신안군 의약업소 현황,자치행정기관,"신안군 의약업소(의료기관, 약국, 약방, 의약품 취급소, 편의점) 등록 현황을 제공하여 관광객의 편의 도모 및 지역경제 활성화",CSV,2020-06-11,파일
1310,신안군 보건기관 현황,자치행정기관,"신안군 2014년 보건기관(보건소, 보건지소, 보건진료소) 현황 자료을 제공하여 관광객의 편의 도모 및 지역경제 활성화",CSV,2020-06-11,파일
1311,전라북도 완주군 의료기관현황,자치행정기관,"완주군 관내 의료기관현황 중 5층 이상규모의 요양병원, 병원 안내, 도로명주소, 전화번호 등 안내",CSV,2020-06-11,파일
1312,전라북도 군산시 병원현황,자치행정기관,"전라북도 군산시 병원현황(의료기관명, 주소, 전화번호 등)",CSV,2020-06-11,파일
1313,대구광역시 달서구 정신보건 시설 현황,자치행정기관,관내 정신보건시설 현황,CSV,2020-06-11,파일
1314,경기도 동두천시 장사시설현황,자치행정기관,"장사시설(시설명, 시설구분, 소재지주소, 위치, 현황, 연락처 등) 정보 공개",CSV,2020-06-10,파일
1315,서울특별시 동대문구 흡연정보,자치행정기관,"서울특별시 동대문구 흡연정보(연도, 연령별 흡연율, 흡연민원건수, 흡연단속건수 등)",CSV,2020-06-10,파일
1316,충청북도 옥천군 의료기관현황,자치행정기관,"충청북도 옥천군_의료기관현황(기관명, 소재지, 전화번호)",CSV,2020-06-10,파일
1317,전라북도 군산시 치과기공소 현황,자치행정기관,"군산시 소재한 치과기공소 현황(치과기공소명, 소재지(도로명), 전화번호)",CSV,2020-06-09,파일
1318,전라북도 군산시 약국 현황,자치행정기관,"군산시 소재한 약국 현황(약국명칭, 약국전화번호, 약국소재지(도로명), 약국구분)",CSV,2020-06-09,파일
1319,전라북도 군산시 안경업소 현황,자치행정기관,"군산시 소재한 안경업소 현황(안경업소명칭, 사업장소재지(도로명), 사업장전화번호)",CSV,2020-06-09,파일
1320,부산광역시 외국인환자 유치기관,자치행정기관,"부산광역시 외국인 환자 유치 의료기관, 유치업자 현황 데이터를 제공합니다.
(상호명, 연락처, 주소 등)",CSV,2020-06-08,파일
1321,재단법인의료기관평가인증원 환자안전 통계연보,공공기관,"의료기관평가인증원 환자안전 통계연보(사고의 종류, 의료기관종별 통계, 환자연령별 통계 등) 데이터를 제공합니다.",CSV,2020-06-08,파일
1322,건강보험심사평가원 희귀질환 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1323,건강보험심사평가원 암상병 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1324,건강보험심사평가원 상병별 의료기관종별 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1325,건강보험심사평가원 5단상병별 성별 연령군별 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1326,건강보험심사평가원 5단상병별 성별 입원외래별 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1327,건강보험심사평가원 4단상병별 성별 연령군별 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1328,건강보험심사평가원 4단상병별 성별 입원외래별 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1329,건강보험심사평가원 3단상병별 성별 연령군별 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1330,건강보험심사평가원 3단상병별 성별 입원외래별 통계,공공기관,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",CSV,2020-06-08,파일
1331,경기도 광주시 병원약국정보,자치행정기관,"경기도 광주시 관내 병원 및 약국 현황(병원약국명, 전화번호, 진료과목 등)입니다.",CSV,2020-06-05,파일
1332,충청남도 서천군 한의원,자치행정기관,서천군 관내 한의원 및 햔약방 업소 정보,"CSV,XLSX",2020-06-05,파일
1333,충청남도 서천군 병의원,자치행정기관,서천군 관내 병원과 의원 현황정보,"CSV,XLSX",2020-06-05,파일
1334,충청남도 서천군 치과병원,자치행정기관,서천군관내 치과병원 현황,"CSV,XLSX",2020-06-05,파일
1335,충청남도 서천군 약국현황,자치행정기관,서천군 소재 약국현황 정보,"CSV,XLSX",2020-06-05,파일
1336,한국보건의료인국가시험원 연구보고서 정보,공공기관,한국보건의료인국가시험원 직종별 연구보고서 현황 및 정보,CSV,2020-06-05,파일
1337,한국보건의료인국가시험원 응시자 및 취득자 현황 치과위생사,공공기관,"- 보건의료인 국가시험 응시자의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 성별, 연령대, 응시지역, 졸업여부, 합격여부)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 면허 취득자의 면허취득시기, 지역 등의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 면허승인일, 면허수령지역)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 응시자의 졸업학교에 대한 정보(직종, 학교명, 주소지역)를 제공",CSV,2020-06-05,파일
1338,한국보건의료인국가시험원 응시자 및 취득자 현황 치과기공사,공공기관,"- 보건의료인 국가시험 응시자의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 성별, 연령대, 응시지역, 졸업여부, 합격여부)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 면허 취득자의 면허취득시기, 지역 등의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 면허승인일, 면허수령지역)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 응시자의 졸업학교에 대한 정보(직종, 학교명, 주소지역)를 제공",CSV,2020-06-05,파일
1339,한국보건의료인국가시험원 응시자 및 취득자 현황 작업치료사,공공기관,"- 보건의료인 국가시험 응시자의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 성별, 연령대, 응시지역, 졸업여부, 합격여부)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 면허 취득자의 면허취득시기, 지역 등의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 면허승인일, 면허수령지역)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 응시자의 졸업학교에 대한 정보(직종, 학교명, 주소지역)를 제공",CSV,2020-06-05,파일
1340,한국보건의료인국가시험원 응시자 및 취득자 현황 임상병리사,공공기관,"- 보건의료인 국가시험 응시자의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 성별, 연령대, 응시지역, 졸업여부, 합격여부)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 면허 취득자의 면허취득시기, 지역 등의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 면허승인일, 면허수령지역)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 응시자의 졸업학교에 대한 정보(직종, 학교명, 주소지역)를 제공",CSV,2020-06-05,파일
1341,한국보건의료인국가시험원 응시자 및 취득자 현황 안경사,공공기관,"- 보건의료인 국가시험 응시자의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 성별, 연령대, 응시지역, 졸업여부, 합격여부)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 면허 취득자의 면허취득시기, 지역 등의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 면허승인일, 면허수령지역)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 응시자의 졸업학교에 대한 정보(직종, 학교명, 주소지역)를 제공",CSV,2020-06-05,파일
1342,한국보건의료인국가시험원 응시자 및 취득자 현황 보건의료정보관리사,공공기관,"- 보건의료인 국가시험 응시자의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 성별, 연령대, 응시지역, 졸업여부, 합격여부)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 면허 취득자의 면허취득시기, 지역 등의 현황을 분석할 수 있는 정보(연도, 직종, 회차, 면허승인일, 면허수령지역)를 개인을 식별할 수 없는 형태로 제공
- 보건의료인 국가시험 응시자의 졸업학교에 대한 정보(직종, 학교명, 주소지역)를 제공",CSV,2020-06-05,파일
